Character;speech
neville;think, okay, okay, yeah, think, hogwarts, professor, snape, professor, snape, want, turn, either, carry, red, handbag, riddikulus, hey, harry, wherever
pansy parkinson;doe, hurt, terribly, draco
parvati patil;riddikulus
percy;let, please, excuse, head, boy, back, one, enter, dormitory, searched, keep, calm, everyone, break, four, back, common, room, quiet, make, way, headmaster, heard, move, mind, going, slow, listen, head, boy, back
pettigrew;remus, sirius, old, friend, harry, look, look, much, like, father, james, best, friend, mean, dark, lord, idea, weapon, posse, ask, sirius, would, done, would, done, james, would, wanted, killed, dad, would, spared, would, shown, mercy, bless, boy, bless, turn, flobberworm, anything, dementors, ron, good, pet, wo, let, give, dementors, rat, sweet, clever, girl, surely, wo
ron;warning, hermione, keep, beast, away, scabbers, turn, tea, cozy, cat, told, look, like, pig, hair, harry, brilliant, load, old, stuff, like, mummy, tomb, even, scabbers, enjoyed, along, dung, beetle, shown, anyone, brilliant, still, think, brilliant, think, everything, everything, oh, let, straight, sirius, black, escaped, azkaban, sure, except, one, ever, broken, azkaban, murderous, raving, lunatic, going, something, moving, think, someone, coming, aboard, bloody, hell, happening, well, sort, went, rigid, thought, maybe, fit, something, felt, weird, though, like, never, cheerful, shove, malfoy, green, monkey, give, one, hey, neville, try, elephant, oh, try, one, look, face, sure, yeah, harry, sort, wonky, cross, trial, suffering, could, sun, happiness, gon, na, suffer, gon, na, happy, think, grim, thing, anything, sirius, black, ancient, rune, exactly, many, class, taking, hang, possible, ancient, rune, time, divination, two, class, supposed, stroke, hagrid, exactly, listen, idiot, really, laying, thick, , riddikulus, honeyduke, sweetshop, brilliant, nothing, beat, zonko, joke, shop, never, shrieking, shack, heard, probably, neville, forgot, password, oh, serf, right, terrible, singer, werewolf, , point, look, bit, peaky, doe, well, fell, broom, something, else, fell, broom, sort, blew, whomping, willow, well, twice, actually, fine, shut, mouth, malfoy, malfoy, lost, ski, bloody, hell, harry, funny, weasel, never, told, marauder, map, sure, along, invisibility, cloak, true, thick, head, merry, christmas, gorgeous, unless, ripped, piece, lost, anything, cat, killed, harry, seen, way, bloodthirsty, beast, always, lurking, scabbers, gone, cat, killed, sacking, spider, spider, spider, want, wan, na, right, yeah, tell, tell, gone, mental, hermione, mean, always, mental, open, everyone, going, back, worse, hermione, worth, good, brilliant, scabbers, alive, right, next, time, crookshanks, let, let, bit, scabbers, scabbers, back, scabbers, bit, harry, hermione, run, grim, ah, harry, harry, help, trap, dog, animagus, harry, mental, scabbers, family, trying, scabbers, leave, alone, bit, bit, almost, tore, leg, better, fine, painful, might, chop, late, ruined, chopped, hermione, bad, idea, bad, idea, nice, doggy, nice, doggy, scabbers, rat, sir, really, rat, rat, brother, percy, rat, gave, owl, bloody, hell, hermione, worth, good, brilliant, scabbers, alive, let, talking, stand, back, said, take, upstairs, settle, quiet, let, man, mean, open, harry, badly, wrapped, made, one
seamus;fortuna, major, listen, wo, let, exactly, hey, man, ron, catch, think, winner, oh, grin, grin, sighted, sirius, black, dementors, slipped, past, say, wo, harry, course
shrunken head;yeah, take, away, ernie, going, bumpy, ride, leaky, cauldron, pea, soup, make, sure, eat, eats, ernie, little, old, lady, ten, nine, eight, seven, six, five, four, three, three, half, two, one, three, quarter, ernie, two, getting, closer, ernie, ernie, right, top, u, mind, head, hey, guy, guy, long, face, yeah, yeah, nearly, nearly, next, stop, knockturn, alley, yeah, take, away, ernie
shrunken head 1;underage, wizard, allowed, today, thick, head, young, whippersnapper
shrunken head 2;shut, damn, door, dare, calling, thick, head
sirius;one, die, tonight, going, kill, harry, well, madness, within, would, remus, found, let, kill, enough, talk, remus, let, kill, waiting, twelve, year, azkaban, peter, pettigrew, room, right, peter, play, brilliant, snape, put, keen, mind, task, wrong, conclusion, excuse, u, remus, business, attend, ca, help, habit, quiet, run, along, play, chemistry, set, map, never, lie, pettigrew, alive, right, rat, twelve, year, curiously, long, life, common, garden, rat, missing, toe, finger, dirty, coward, cut, everyone, would, think, dead, transformed, rat, dare, speak, harry, dare, talk, james, front, gon, na, died, gon, na, die, rather, betray, friend, realized, voldemort, kill, would, together, sorry, bite, reckon, twinge, bit, going, rat, normally, sweet, disposition, dog, james, suggested, make, change, permanent, tail, could, live, flea, murder, beautiful, never, forget, first, time, walked, door, nice, free, man, noble, thing, back, doe, deserve, harry, born, james, lily, made, godfather, understand, choose, stay, aunt, uncle, ever, wanted, different, home, thought, understand, want, remus, old, friend, taken, potion, tonight, man, truly, remus, heart, truly, live, flesh, flesh, remus, remus, run, run, run, run, forever, grateful, one, day, perhaps, time, life, unpredictable, besides, meant, , expect, tired, hearing, look, like, father, except, eye, cruel, spent, much, time, james, lily, little, one, love, u, never, really, leave, u, always, find, really, brightest, witch, age
snape;done, dungeon, sign, black, anywhere, else, castle, remarkable, feat, think, enter, hogwarts, castle, one, completely, undetected, theory, managed, may, recall, prior, start, term, expressed, concern, appointment, professor, potter, warned, turn, page, really, concern, potter, suffice, say, professor, find, incapable, teaching, present, time, turn, page, quiet, one, tell, difference, animagus, werewolf, one, disappointing, thank, malfoy, second, time, spoken, turn, miss, granger, incapable, restraining, take, pride, insufferable, five, point, gryffindor, antidote, ignorance, desk, monday, morning, two, roll, parchment, werewolf, emphasis, recognizing, suggest, take, extra, care, potter, loss, limb, excuse, page, term, werewolf, contraction, word, mean, man, wolf, werewolf, several, way, become, werewolf, include, given, power, bitten, werewolf, potter, wandering, corridor, night, extraordinarily, like, father, potter, exceedingly, arrogant, strutting, castle, turn, pocket, turn, pocket, really, open, reveal, secret, read, insolent, little, well, well, lupin, little, walk, moonlight, remains, seen, confiscated, rather, curious, artifact, take, look, lupin, supposed, area, expertise, clearly, full, dark, magic, expelliarmus, vengeance, sweet, hoped, one, catch, told, dumbledore, helping, friend, castle, proof, give, reason, beg, two, quarrelling, like, old, married, couple, could, deny, dementors, longing, detect, flicker, fear, oh, dementor, kiss, one, imagine, must, like, said, nearly, unbearable, witness, best, potter, back, potter
stan shunpike;welcome, knight, bus, emergency, transport, stranded, witch, wizard, name, stan, shunpike, conductor, evening, fall, well, let, wait, grass, grow, looking, well, , move, move, take, away, ern, say, name, abouts, headed, hear, leaky, cauldron, london, muggles, nothing, jab, fork, feel, sirius, black, tell, never, hearing, sirius, black, murderer, locked, azkaban, well, question, first, one, done, big, supporter, reckon, heard, leaky, cauldron, take, away, ern
teacher;third, floor, clear, sir
tom riddle;potter, last, room, right, smart, bird, potter, arrived, five, minute
trelawney;welcome, child, room, shall, explore, noble, art, divination, room, shall, discover, posse, sight, hello, professor, trelawney, together, shall, cast, future, term, focus, tasseomancy, art, reading, tea, leaf, please, take, cup, person, sitting, opposite, truth, lie, buried, like, sentence, deep, within, book, waiting, read, first, must, broaden, mind, first, must, look, beyond, boy, grandmother, quite, well, would, sure, give, cup, pity, broaden, mind, aura, pulsing, dear, beyond, think, look, cup, tell, give, cup, oh, dear, boy, dear, grim, broaden, mind, must, look, beyond, art, crystal, gazing, clearing, inner, eye, try, dear, first, moment, stepped, foot, class, sensed, posse, proper, spirit, noble, art, divination, may, young, year, heart, shriveled, old, maid, soul, dry, page, book, desperately, cleave, said, something, return, tonight, tonight, betrayed, friend, whose, heart, rot, murder, shall, break, free, innocent, blood, shall, spilt, servant, master, shall, reunited, sorry, dear, boy, say, something
uncle vernon;, later, perhaps, behave, take, marge, suitcase, upstairs, tempt, marge, brutus, fine, institution, hopeless, case, think, time, went, bed, stop, marge, hold, hold, sorry, oh, god, marge, please, marge, back, bring, back, bring, back, put, right, ca, magic, outside, school, wo, let, back, nowhere
vendor;right, gon, na, move, bus
voice;put, light, watch, boy, trying, sleep, deaf, put, light, harry, potter
witch;much, want
